"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","DAPR","DAPR_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES"
"USC00408160","SELMER, TN US","35.16442","-88.59884","135.6","2025-01-01",,,,,"0.00",",,7","0.0",",,7","0.0",",,7",,,,,"26",",,7"
"USC00408160","SELMER, TN US","35.16442","-88.59884","135.6","2025-01-02",,,,,"0.00",",,7","0.0",",,7","0.0",",,7","40",",,7","26",",,7","34",",,7"
"USC00408160","SELMER, TN US","35.16442","-88.59884","135.6","2025-01-03",,,,,"0.00",",,7","0.0",",,7","0.0",",,7","50",",,7","23",",,7","24",",,7"
"USC00408160","SELMER, TN US","35.16442","-88.59884","135.6","2025-01-04",,,,,"0.00",",,7","0.0",",,7","0.0",",,7","48",",,7","23",",,7","24",",,7"
"USC00408160","SELMER, TN US","35.16442","-88.59884","135.6","2025-01-05",,,,,,,"0.0",",,7","0.0",",,7","52",",,7","24",",,7","28",",,7"
"USC00408160","SELMER, TN US","35.16442","-88.59884","135.6","2025-01-06",,,,,"0.87",",,7","0.0",",,7","0.0",",,7","58",",,7","27",",,7","27",",,7"
"USC00408160","SELMER, TN US","35.16442","-88.59884","135.6","2025-01-07",,,,,"0.00",",,7","0.0",",,7","0.0",",,7","29",",,7","26",",,7","29",",,7"
"USC00408160","SELMER, TN US","35.16442","-88.59884","135.6","2025-01-08",,,,,"0.00",",,7","0.0",",,7","0.0",",,7","31",",,7","27",",,7","27",",,7"
"USC00408160","SELMER, TN US","35.16442","-88.59884","135.6","2025-01-09",,,,,"0.00",",,7","0.0",",,7","0.0",",,7","35",",,7","15",",,7","16",",,7"
"USC00408160","SELMER, TN US","35.16442","-88.59884","135.6","2025-01-10",,,,,"0.72",",,7",,,,,"38",",,7","16",",,7","30",",,7"
"USC00408160","SELMER, TN US","35.16442","-88.59884","135.6","2025-01-11",,,,,"0.39",",,7",,,,,"39",",,7","21",",,7","27",",,7"
"USC00408160","SELMER, TN US","35.16442","-88.59884","135.6","2025-01-12",,,,,"0.00",",,7","0.0",",,7",,,"39",",,7","25",",,7","28",",,7"
"USC00408160","SELMER, TN US","35.16442","-88.59884","135.6","2025-01-13",,,,,"0.00",",,7","0.0",",,7",,,"49",",,7","28",",,7","39",",,7"
"USC00408160","SELMER, TN US","35.16442","-88.59884","135.6","2025-01-14",,,,,"0.00",",,7","0.0",",,7",,,"43",",,7","19",",,7","19",",,7"
"USC00408160","SELMER, TN US","35.16442","-88.59884","135.6","2025-01-15",,,,,"0.00",",,7","0.0",",,7",,,"50",",,7","19",",,7","27",",,7"
"USC00408160","SELMER, TN US","35.16442","-88.59884","135.6","2025-01-16",,,,,"0.00",",,7","0.0",",,7",,,"48",",,7","24",",,7","25",",,7"
"USC00408160","SELMER, TN US","35.16442","-88.59884","135.6","2025-01-17",,,,,"0.00",",,7","0.0",",,7","0.0",",,7","56",",,7","25",",,7","27",",,7"
"USC00408160","SELMER, TN US","35.16442","-88.59884","135.6","2025-01-18",,,,,"0.35",",,7","0.0",",,7","0.0",",,7","60",",,7","27",",,7","47",",,7"
"USC00408160","SELMER, TN US","35.16442","-88.59884","135.6","2025-01-19",,,,,"0.00",",,7","0.0",",,7","0.0",",,7",,,"25",",,7","28",",,7"
